84	archive.ics.uci.edu/ml/datasets/Train/X_train.txt
85	archive.ics.uci.edu/ml/datasets/Twin+gas+sensor+arrays
86	archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters
87	archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29
88	archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29
89	archive.ics.uci.edu/ml/datasets/Wine
90	archive.ics.uci.edu/ml/datasets/Wine+Quality
91	archive.ics.uci.edu/ml/datasets/YearPredictionMSD
92	archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset
93	archive.ics.uci.edu/ml/datasets/about.html
94	archive.ics.uci.edu/ml/datasets/amazon+book+reviews
95	archive.ics.uci.edu/ml/datasets/automobile
96	archive.ics.uci.edu/ml/datasets/car+evaluation
97	archive.ics.uci.edu/ml/datasets/contact.html
98	archive.ics.uci.edu/ml/datasets/donation_policy.html
99	archive.ics.uci.edu/ml/datasets/forest+fires
100	archive.ics.uci.edu/ml/datasets/human+activity+recognition+using+smartphones
101	archive.ics.uci.edu/ml/datasets/index.html
102	archive.ics.uci.edu/ml/datasets/smartphone-based+recognition+of+human+activities+and+postural+transitions
103	archive.ics.uci.edu/ml/donation_policy.html
104	archive.ics.uci.edu/ml/machine-learning-databases
105	archive.ics.uci.edu/ml/machine-learning-databases/00192
106	archive.ics.uci.edu/ml/machine-learning-databases/00195
107	archive.ics.uci.edu/ml/machine-learning-databases/00197?C=D;O=A
108	archive.ics.uci.edu/ml/machine-learning-databases/00199
109	archive.ics.uci.edu/ml/machine-learning-databases/00203?C=N;O=A
110	archive.ics.uci.edu/ml/machine-learning-databases/00204
111	archive.ics.uci.edu/ml/machine-learning-databases/00211
112	archive.ics.uci.edu/ml/machine-learning-databases/00222
113	archive.ics.uci.edu/ml/machine-learning-databases/00225
114	archive.ics.uci.edu/ml/machine-learning-databases/00226
115	archive.ics.uci.edu/ml/machine-learning-databases/00228
116	archive.ics.uci.edu/ml/machine-learning-databases/00235
117	archive.ics.uci.edu/ml/machine-learning-databases/00240?C=D;O=A
118	archive.ics.uci.edu/ml/machine-learning-databases/00241
119	archive.ics.uci.edu/ml/machine-learning-databases/00244?C=D;O=A
120	archive.ics.uci.edu/ml/machine-learning-databases/00256
121	archive.ics.uci.edu/ml/machine-learning-databases/00257
122	archive.ics.uci.edu/ml/machine-learning-databases/00272
123	archive.ics.uci.edu/ml/machine-learning-databases/00290
124	archive.ics.uci.edu/ml/machine-learning-databases/00298
125	archive.ics.uci.edu/ml/machine-learning-databases/00302?C=D;O=A
126	archive.ics.uci.edu/ml/machine-learning-databases/00303
127	archive.ics.uci.edu/ml/machine-learning-databases/00304
128	archive.ics.uci.edu/ml/machine-learning-databases/00306
129	archive.ics.uci.edu/ml/machine-learning-databases/00309
130	archive.ics.uci.edu/ml/machine-learning-databases/00314
131	archive.ics.uci.edu/ml/machine-learning-databases/00316
132	archive.ics.uci.edu/ml/machine-learning-databases/00324?C=D;O=A
133	archive.ics.uci.edu/ml/machine-learning-databases/00325
134	archive.ics.uci.edu/ml/machine-learning-databases/00326
135	archive.ics.uci.edu/ml/machine-learning-databases/00327?C=M;O=A
136	archive.ics.uci.edu/ml/machine-learning-databases/00333
137	archive.ics.uci.edu/ml/machine-learning-databases/00341
